student_id,internship_id,rating,feedback_text,completion_date,would_recommend,recommend_binary
S010,I017,4,Good hands-on projects and team collaboration,2025-06-20,Yes,1
S088,I067,4,Amazing work culture and challenging projects,2025-05-25,No,0
S076,I024,5,Amazing work culture and challenging projects,2025-06-25,Maybe,0
S008,I016,5,Amazing work culture and challenging projects,2025-07-28,Yes,1
S021,I042,5,Great exposure to industry-standard tools,2025-07-17,Maybe,0
S037,I011,4,Great exposure to industry-standard tools,2025-05-04,Maybe,0
S036,I017,5,Solid internship with real-world impact,2025-05-09,Maybe,0
S012,I065,5,Amazing work culture and challenging projects,2025-05-15,Maybe,0
S020,I022,5,Excellent mentors and project ownership,2025-05-12,Yes,1
S073,I006,5,Excellent learning experience with great mentorship,2025-09-23,Yes,1
S083,I074,4,Great exposure to industry-standard tools,2025-05-20,Yes,1
S080,I004,4,Great stipend and learning opportunities,2025-07-31,No,0
S039,I062,4,Good experience but could improve code reviews,2025-07-29,Yes,1
S010,I008,4,Fantastic team and meaningful work,2025-06-29,Yes,1
S060,I027,4,Excellent mentors and project ownership,2025-09-07,Yes,1
S092,I041,5,Best internship for learning cutting-edge tech,2025-07-03,Yes,1
S098,I048,5,Great stipend and learning opportunities,2025-09-16,Yes,1
S031,I060,3,Solid internship with real-world impact,2025-06-20,Yes,1
S019,I013,3,Solid internship with real-world impact,2025-07-07,Maybe,0
S054,I032,5,Amazing work culture and challenging projects,2025-07-22,Maybe,0
S093,I041,4,Amazing work culture and challenging projects,2025-06-08,Maybe,0
S060,I064,4,Fantastic team and meaningful work,2025-10-08,Yes,1
S051,I065,4,Great exposure to industry-standard tools,2025-08-19,Maybe,0
S046,I007,3,Solid internship with real-world impact,2025-06-09,Maybe,0
S084,I061,4,Great stipend and learning opportunities,2025-10-11,Yes,1
S056,I018,4,Best internship for learning cutting-edge tech,2025-07-02,Yes,1
S006,I052,3,Excellent mentors and project ownership,2025-05-23,Yes,1
S047,I071,4,Good hands-on projects and team collaboration,2025-07-07,Maybe,0
S058,I071,4,Excellent mentors and project ownership,2025-04-22,Maybe,0
S016,I017,3,Good experience but could improve code reviews,2025-07-10,Yes,1
S072,I047,5,Amazing work culture and challenging projects,2025-08-24,Maybe,0
S066,I052,5,Excellent learning experience with great mentorship,2025-10-02,Yes,1
S018,I043,5,Fantastic team and meaningful work,2025-06-03,Yes,1
S020,I066,4,Best internship for learning cutting-edge tech,2025-05-10,Yes,1
S021,I051,5,Solid internship with real-world impact,2025-05-15,Yes,1
S065,I066,5,Fantastic team and meaningful work,2025-05-22,Yes,1
S061,I003,4,Best internship for learning cutting-edge tech,2025-04-24,Yes,1
S054,I075,4,Excellent learning experience with great mentorship,2025-05-14,Yes,1
S034,I075,5,Great exposure to industry-standard tools,2025-09-30,Maybe,0
S062,I022,5,Excellent mentors and project ownership,2025-07-08,Yes,1
S088,I032,3,Excellent mentors and project ownership,2025-04-17,Yes,1
S025,I003,4,Best internship for learning cutting-edge tech,2025-06-28,Yes,1
S053,I027,4,Great stipend and learning opportunities,2025-05-10,Yes,1
S095,I008,5,Amazing work culture and challenging projects,2025-06-03,Yes,1
S072,I042,5,Fantastic team and meaningful work,2025-06-01,Yes,1
S041,I023,4,Great stipend and learning opportunities,2025-07-18,Maybe,0
S046,I034,5,Fantastic team and meaningful work,2025-08-25,Yes,1
S036,I072,4,Great exposure to industry-standard tools,2025-07-29,Yes,1
S091,I027,5,Fantastic team and meaningful work,2025-07-24,Yes,1
S045,I072,5,Solid internship with real-world impact,2025-08-01,Yes,1
S074,I070,4,Good experience but could improve code reviews,2025-07-17,Yes,1
S038,I006,4,Good hands-on projects and team collaboration,2025-07-17,Yes,1
S084,I033,5,Fantastic team and meaningful work,2025-08-20,Yes,1
S069,I035,5,Solid internship with real-world impact,2025-09-08,Yes,1
S079,I031,4,Excellent learning experience with great mentorship,2025-04-25,Maybe,0
S029,I030,3,Good hands-on projects and team collaboration,2025-06-30,Yes,1
S092,I061,3,Amazing work culture and challenging projects,2025-10-12,Maybe,0
S021,I053,5,Fantastic team and meaningful work,2025-06-13,No,0
S026,I037,4,Solid internship with real-world impact,2025-05-01,Yes,1
S099,I012,5,Excellent mentors and project ownership,2025-08-15,Maybe,0
S095,I005,4,Good experience but could improve code reviews,2025-08-29,Yes,1
S051,I064,4,Solid internship with real-world impact,2025-10-04,Yes,1
S039,I073,5,Good hands-on projects and team collaboration,2025-07-20,Yes,1
S059,I070,5,Fantastic team and meaningful work,2025-09-09,Maybe,0
S060,I035,4,Good hands-on projects and team collaboration,2025-07-21,Yes,1
S094,I059,5,Solid internship with real-world impact,2025-08-27,Yes,1
S095,I044,5,Solid internship with real-world impact,2025-05-21,No,0
S097,I025,4,Excellent mentors and project ownership,2025-05-03,Yes,1
S055,I066,4,Good hands-on projects and team collaboration,2025-07-03,No,0
S013,I024,4,Fantastic team and meaningful work,2025-07-23,Yes,1
S001,I034,4,Great exposure to industry-standard tools,2025-06-21,Yes,1
S043,I039,5,Excellent mentors and project ownership,2025-10-11,Yes,1
S084,I047,5,Great exposure to industry-standard tools,2025-09-28,No,0
S016,I060,4,Amazing work culture and challenging projects,2025-07-02,No,0
S065,I040,5,Good hands-on projects and team collaboration,2025-05-03,Yes,1
S048,I029,4,Amazing work culture and challenging projects,2025-06-13,Yes,1
S059,I048,4,Great stipend and learning opportunities,2025-06-15,Maybe,0
S086,I028,5,Great exposure to industry-standard tools,2025-04-22,Maybe,0
S011,I068,4,Great stipend and learning opportunities,2025-04-16,Yes,1
S010,I073,3,Excellent learning experience with great mentorship,2025-05-26,Maybe,0
S026,I074,5,Amazing work culture and challenging projects,2025-09-01,Yes,1
S067,I057,3,Great exposure to industry-standard tools,2025-05-17,Yes,1
S012,I066,4,Excellent learning experience with great mentorship,2025-06-19,Yes,1
S066,I054,4,Excellent mentors and project ownership,2025-09-29,Maybe,0
S060,I040,5,Excellent learning experience with great mentorship,2025-07-04,Yes,1
S001,I028,5,Good hands-on projects and team collaboration,2025-10-02,Yes,1
S045,I009,5,Excellent learning experience with great mentorship,2025-09-26,Yes,1
S005,I037,4,Amazing work culture and challenging projects,2025-09-09,No,0
S094,I054,4,Good experience but could improve code reviews,2025-06-21,Yes,1
S049,I011,5,Great stipend and learning opportunities,2025-09-09,No,0
S045,I016,4,Great stipend and learning opportunities,2025-07-05,Maybe,0
S017,I029,5,Excellent learning experience with great mentorship,2025-10-08,Yes,1
S060,I070,4,Great stipend and learning opportunities,2025-07-08,Yes,1
S032,I059,4,Amazing work culture and challenging projects,2025-08-04,Yes,1
S093,I015,3,Good experience but could improve code reviews,2025-05-09,Yes,1
S031,I027,3,Good hands-on projects and team collaboration,2025-05-14,Yes,1
S058,I007,4,Excellent learning experience with great mentorship,2025-07-03,Yes,1
S030,I070,4,Excellent learning experience with great mentorship,2025-09-08,Maybe,0
S038,I030,5,Excellent mentors and project ownership,2025-07-24,Maybe,0
S077,I042,4,Solid internship with real-world impact,2025-09-07,No,0
S067,I029,4,Solid internship with real-world impact,2025-08-04,Yes,1
S072,I023,5,Good experience but could improve code reviews,2025-05-24,Yes,1
S007,I045,5,Good experience but could improve code reviews,2025-06-01,Yes,1
S090,I054,4,Amazing work culture and challenging projects,2025-07-29,Yes,1
S024,I069,4,Great exposure to industry-standard tools,2025-08-17,Yes,1
S091,I019,5,Fantastic team and meaningful work,2025-09-29,Maybe,0
S053,I054,5,Great stipend and learning opportunities,2025-09-09,Yes,1
S032,I033,4,Best internship for learning cutting-edge tech,2025-05-01,Yes,1
S058,I048,3,Great stipend and learning opportunities,2025-08-26,Yes,1
S035,I049,5,Excellent mentors and project ownership,2025-05-12,Yes,1
S010,I025,5,Excellent mentors and project ownership,2025-04-25,Maybe,0
S028,I062,4,Best internship for learning cutting-edge tech,2025-07-28,Yes,1
S028,I025,5,Good hands-on projects and team collaboration,2025-06-13,Yes,1
S090,I027,4,Great exposure to industry-standard tools,2025-05-25,Yes,1
S100,I037,4,Fantastic team and meaningful work,2025-05-30,No,0
S046,I040,4,Best internship for learning cutting-edge tech,2025-06-04,Yes,1
S060,I013,5,Fantastic team and meaningful work,2025-07-24,Yes,1
S048,I041,4,Excellent learning experience with great mentorship,2025-05-22,Yes,1
S095,I019,3,Solid internship with real-world impact,2025-05-25,Maybe,0
S075,I054,4,Amazing work culture and challenging projects,2025-08-24,Yes,1
S030,I049,5,Great exposure to industry-standard tools,2025-06-08,Maybe,0
S084,I044,4,Fantastic team and meaningful work,2025-05-02,No,0
S063,I059,4,Best internship for learning cutting-edge tech,2025-08-31,Yes,1
S093,I070,4,Amazing work culture and challenging projects,2025-05-28,No,0
S008,I068,3,Good hands-on projects and team collaboration,2025-04-25,Yes,1
S098,I001,4,Amazing work culture and challenging projects,2025-05-05,Yes,1
S009,I020,3,Great exposure to industry-standard tools,2025-06-06,Yes,1
S048,I008,5,Excellent mentors and project ownership,2025-06-12,No,0
S063,I003,3,Great stipend and learning opportunities,2025-05-25,Yes,1
S002,I003,5,Solid internship with real-world impact,2025-05-29,Yes,1
S003,I065,5,Good experience but could improve code reviews,2025-08-29,Yes,1
S013,I068,4,Great exposure to industry-standard tools,2025-08-25,Maybe,0
S068,I033,5,Best internship for learning cutting-edge tech,2025-08-06,Yes,1
S011,I048,4,Fantastic team and meaningful work,2025-05-22,Yes,1
S090,I029,4,Good hands-on projects and team collaboration,2025-04-29,No,0
S098,I005,3,Good experience but could improve code reviews,2025-07-08,Yes,1
S071,I061,3,Excellent learning experience with great mentorship,2025-04-17,Yes,1
S011,I064,5,Good experience but could improve code reviews,2025-05-01,Yes,1
S073,I013,5,Excellent learning experience with great mentorship,2025-08-16,Yes,1
S089,I073,4,Solid internship with real-world impact,2025-10-02,Yes,1
S088,I036,5,Excellent mentors and project ownership,2025-04-28,Yes,1
S023,I041,3,Great exposure to industry-standard tools,2025-05-16,Yes,1
S097,I051,3,Solid internship with real-world impact,2025-09-02,Maybe,0
S031,I073,5,Good experience but could improve code reviews,2025-04-23,Maybe,0
S043,I050,5,Amazing work culture and challenging projects,2025-04-20,No,0
S011,I065,5,Best internship for learning cutting-edge tech,2025-09-30,Yes,1
S056,I030,5,Good hands-on projects and team collaboration,2025-07-18,Maybe,0
S099,I051,5,Best internship for learning cutting-edge tech,2025-10-06,No,0
S035,I058,4,Great exposure to industry-standard tools,2025-07-14,Maybe,0
S049,I056,4,Excellent mentors and project ownership,2025-04-27,Yes,1
S011,I038,5,Great exposure to industry-standard tools,2025-09-25,Yes,1
S035,I020,4,Amazing work culture and challenging projects,2025-07-06,Yes,1
S047,I014,3,Excellent learning experience with great mentorship,2025-07-27,Yes,1
S047,I035,3,Amazing work culture and challenging projects,2025-09-21,Yes,1
S056,I058,5,Great stipend and learning opportunities,2025-06-04,Yes,1
S014,I004,3,Best internship for learning cutting-edge tech,2025-05-25,Yes,1
S053,I050,5,Good hands-on projects and team collaboration,2025-05-23,Yes,1
S074,I067,4,Good experience but could improve code reviews,2025-08-31,Yes,1
S035,I039,4,Fantastic team and meaningful work,2025-09-06,Yes,1
S022,I056,4,Good experience but could improve code reviews,2025-07-29,Yes,1
S010,I047,4,Great exposure to industry-standard tools,2025-05-06,Yes,1
S077,I026,4,Good hands-on projects and team collaboration,2025-09-09,Yes,1
S001,I051,4,Excellent mentors and project ownership,2025-07-08,Yes,1
S057,I043,4,Excellent mentors and project ownership,2025-09-09,Yes,1
S042,I026,4,Best internship for learning cutting-edge tech,2025-08-29,Yes,1
S041,I038,5,Fantastic team and meaningful work,2025-05-19,Yes,1
S042,I049,4,Good experience but could improve code reviews,2025-07-12,Yes,1
S073,I026,5,Great stipend and learning opportunities,2025-08-28,No,0
S099,I071,3,Fantastic team and meaningful work,2025-08-21,Yes,1
S038,I009,5,Good experience but could improve code reviews,2025-04-24,Yes,1
S018,I039,4,Solid internship with real-world impact,2025-04-28,Yes,1
S092,I055,5,Good experience but could improve code reviews,2025-09-25,Yes,1
S077,I062,5,Good experience but could improve code reviews,2025-05-30,Maybe,0
S089,I054,5,Excellent learning experience with great mentorship,2025-07-13,No,0
S069,I011,3,Great exposure to industry-standard tools,2025-04-28,No,0
S046,I022,5,Excellent mentors and project ownership,2025-10-02,Maybe,0
S083,I052,5,Best internship for learning cutting-edge tech,2025-06-25,Yes,1
S002,I013,4,Great exposure to industry-standard tools,2025-06-05,No,0
S067,I072,5,Excellent mentors and project ownership,2025-08-18,Yes,1
S048,I051,4,Excellent mentors and project ownership,2025-04-20,Maybe,0
S020,I045,3,Fantastic team and meaningful work,2025-09-17,Yes,1
S054,I011,3,Amazing work culture and challenging projects,2025-07-16,Yes,1
S044,I059,5,Great exposure to industry-standard tools,2025-06-02,Yes,1
S045,I061,3,Fantastic team and meaningful work,2025-04-18,Yes,1
S041,I009,4,Excellent learning experience with great mentorship,2025-09-14,Yes,1
S044,I014,5,Amazing work culture and challenging projects,2025-08-12,Maybe,0
S023,I071,4,Best internship for learning cutting-edge tech,2025-05-23,Yes,1
S060,I030,5,Good experience but could improve code reviews,2025-05-05,Yes,1
S024,I056,4,Excellent learning experience with great mentorship,2025-05-09,Yes,1
S058,I055,4,Excellent learning experience with great mentorship,2025-04-16,Yes,1
S027,I036,5,Good hands-on projects and team collaboration,2025-05-19,Yes,1
S069,I024,4,Best internship for learning cutting-edge tech,2025-08-24,Yes,1
S015,I034,5,Fantastic team and meaningful work,2025-05-31,No,0
S041,I050,5,Good experience but could improve code reviews,2025-05-16,Yes,1
S045,I046,5,Fantastic team and meaningful work,2025-05-08,Yes,1
S087,I039,5,Excellent mentors and project ownership,2025-09-22,No,0
S018,I041,3,Great exposure to industry-standard tools,2025-07-27,Yes,1
S024,I048,5,Amazing work culture and challenging projects,2025-06-05,Yes,1
S054,I018,5,Good experience but could improve code reviews,2025-06-27,Yes,1
S063,I069,5,Amazing work culture and challenging projects,2025-05-24,Yes,1
S063,I037,4,Amazing work culture and challenging projects,2025-07-25,Yes,1
S080,I007,5,Best internship for learning cutting-edge tech,2025-10-11,Yes,1
S018,I025,5,Good experience but could improve code reviews,2025-05-23,Maybe,0
S084,I064,4,Fantastic team and meaningful work,2025-06-29,No,0
S057,I063,4,Good hands-on projects and team collaboration,2025-05-22,Yes,1
S098,I029,4,Excellent learning experience with great mentorship,2025-08-04,Yes,1
S069,I037,4,Fantastic team and meaningful work,2025-05-22,No,0
S099,I064,5,Great stipend and learning opportunities,2025-09-15,Maybe,0
S015,I035,5,Great stipend and learning opportunities,2025-07-12,Maybe,0
S097,I006,5,Fantastic team and meaningful work,2025-05-27,Yes,1
S055,I014,5,Great exposure to industry-standard tools,2025-07-29,Yes,1
S058,I034,4,Good hands-on projects and team collaboration,2025-06-23,Yes,1
S100,I031,4,Excellent mentors and project ownership,2025-04-20,Yes,1
S091,I055,4,Excellent mentors and project ownership,2025-09-08,Yes,1
S027,I008,5,Best internship for learning cutting-edge tech,2025-05-30,Yes,1
S077,I069,4,Best internship for learning cutting-edge tech,2025-04-16,Yes,1
S038,I074,4,Great stipend and learning opportunities,2025-04-23,Yes,1
S018,I053,3,Solid internship with real-world impact,2025-04-29,Yes,1
S090,I017,4,Amazing work culture and challenging projects,2025-07-23,Yes,1
S098,I051,4,Amazing work culture and challenging projects,2025-05-19,No,0
S035,I054,4,Fantastic team and meaningful work,2025-09-24,No,0
S048,I059,4,Best internship for learning cutting-edge tech,2025-05-18,Yes,1
S100,I012,5,Fantastic team and meaningful work,2025-05-04,No,0
S090,I046,5,Good hands-on projects and team collaboration,2025-05-30,Yes,1
S028,I055,5,Great exposure to industry-standard tools,2025-06-09,Yes,1
S042,I037,4,Great stipend and learning opportunities,2025-05-19,Yes,1
S073,I063,5,Best internship for learning cutting-edge tech,2025-04-22,Yes,1
S006,I013,5,Fantastic team and meaningful work,2025-10-09,Yes,1
S021,I057,4,Excellent learning experience with great mentorship,2025-06-26,Yes,1
S089,I017,5,Solid internship with real-world impact,2025-09-03,Yes,1
S012,I047,4,Good hands-on projects and team collaboration,2025-07-10,No,0
S084,I022,3,Good experience but could improve code reviews,2025-05-06,Yes,1
S093,I030,4,Good hands-on projects and team collaboration,2025-04-16,Yes,1
S029,I067,5,Fantastic team and meaningful work,2025-10-11,Yes,1
S090,I044,5,Good hands-on projects and team collaboration,2025-06-27,No,0
S017,I062,3,Great exposure to industry-standard tools,2025-07-07,Yes,1
S018,I049,5,Amazing work culture and challenging projects,2025-05-02,No,0
S019,I009,5,Excellent mentors and project ownership,2025-10-11,Maybe,0
S096,I020,4,Excellent mentors and project ownership,2025-04-21,Yes,1
S028,I012,3,Amazing work culture and challenging projects,2025-09-12,Maybe,0
S094,I050,4,Good experience but could improve code reviews,2025-07-25,Yes,1
S032,I036,5,Good hands-on projects and team collaboration,2025-08-11,Maybe,0
S077,I037,5,Excellent learning experience with great mentorship,2025-04-28,Yes,1
S027,I067,5,Great stipend and learning opportunities,2025-08-26,No,0
S051,I038,5,Excellent learning experience with great mentorship,2025-08-13,Yes,1
S050,I015,4,Fantastic team and meaningful work,2025-05-03,Maybe,0
S010,I068,3,Best internship for learning cutting-edge tech,2025-07-24,Yes,1
S050,I073,4,Best internship for learning cutting-edge tech,2025-05-27,No,0
S023,I061,5,Good hands-on projects and team collaboration,2025-10-09,Maybe,0
S009,I002,4,Great exposure to industry-standard tools,2025-10-03,Yes,1
S090,I052,3,Great stipend and learning opportunities,2025-05-29,Maybe,0
S020,I036,3,Solid internship with real-world impact,2025-09-23,Maybe,0
S027,I020,5,Best internship for learning cutting-edge tech,2025-07-05,Maybe,0
S082,I009,4,Good experience but could improve code reviews,2025-08-13,Yes,1
S032,I012,4,Good hands-on projects and team collaboration,2025-06-19,Maybe,0
S078,I008,4,Amazing work culture and challenging projects,2025-09-13,Yes,1
S091,I018,5,Excellent learning experience with great mentorship,2025-09-02,Yes,1
S045,I067,5,Solid internship with real-world impact,2025-09-01,Yes,1
